,MV,P,VA,VO
2013-10-01,48163.63,4.1,1919171.0,451407.8
2013-11-01,49103.42,4.18,1457313.0,350559.6
2013-12-01,50278.15,4.28,1422480.0,338836.0
2014-01-01,47458.79,4.04,1287763.0,303272.1
2014-02-01,44874.42,3.82,772062.8,200460.2
2014-03-01,44052.11,3.75,955780.9,247601.0
2014-04-01,44287.05,3.77,1227484.0,329419.6
2014-05-01,43699.69,3.72,1823524.0,470981.9
2014-06-01,43699.69,3.72,748637.6,200295.3
2014-07-01,44052.11,3.75,784335.6,211224.0
2014-08-01,46284.06,3.94,1896575.0,502619.5
2014-09-01,47458.79,4.04,2700644.0,665153.3
2014-10-01,55681.84,4.74,5925132.0,1314460.0
2014-11-01,65432.08,5.57,7061527.0,1440209.0
2014-12-01,84697.5,7.21,28739120.0,4267802.0
2015-01-01,163169.0,13.89,60970560.0,5443669.0
2015-02-01,128984.6,10.98,43342350.0,3286781.0
2015-03-01,159879.8,13.61,24206820.0,1936041.0
2015-04-01,219438.2,18.68,64312500.0,4195106.0
2015-05-01,253622.7,21.59,109475800.0,5269925.0
2015-06-01,218968.4,18.64,60305950.0,3100565.0
2015-07-01,186076.1,15.84,50481580.0,2830685.0
2015-08-01,176795.8,15.05,44359040.0,2790502.0
2015-09-01,149307.3,12.71,16884930.0,1209907.0
2015-10-01,139439.6,11.87,9030067.0,705641.1
2015-11-01,169747.4,14.45,14525510.0,1004606.0
2015-12-01,165518.4,14.09,20217780.0,1267151.0
2016-01-01,157530.3,13.41,6896873.0,495455.1
2016-02-01,123228.4,10.49,7663621.0,652093.3
2016-03-01,126517.7,10.77,4316960.0,383956.5
2016-04-01,143903.6,12.25,6920122.0,578878.4
