,MV,P,PE,PTBV,VA,VO
2010-11-01,100519.9,17.95,,3.06,15761150.0,938070.0
2010-12-01,79631.94,14.22,,2.42,9192823.0,567558.8
2011-01-01,76831.94,13.72,,2.31,4674521.0,328582.8
2011-02-01,78119.94,13.95,,2.35,3592225.0,257725.8
2011-03-01,81255.94,14.51,,2.45,5420000.0,368741.4
2011-04-01,79407.94,14.18,,2.39,6268485.0,433088.9
2011-05-01,75487.94,13.48,21.7,2.27,4438482.0,310673.8
2011-06-01,70671.94,12.62,20.3,2.13,2232941.0,171088.4
2011-07-01,69159.94,12.35,19.9,2.08,2325758.0,192597.1
2011-08-01,64511.96,11.52,18.6,1.94,1807532.0,150786.3
2011-09-01,57567.97,10.28,18.2,1.73,1880048.0,178221.8
2011-10-01,55775.97,9.96,17.7,1.68,2178710.0,216907.3
2011-11-01,59023.97,10.54,25.0,1.78,2784504.0,266559.6
2011-12-01,51743.99,9.24,21.9,1.56,2271749.0,223196.9
2012-01-01,43791.97,7.82,18.6,1.28,1681659.0,205828.4
2012-02-01,45695.96,8.16,19.4,1.34,2124762.0,264136.6
2012-03-01,50343.98,8.99,21.3,1.47,3580793.0,411889.3
2012-04-01,49167.97,8.78,20.8,1.44,4537457.0,475849.7
2012-05-01,58575.95,10.46,37.3,1.71,5651632.0,557882.1
2012-06-01,66247.94,11.83,42.2,1.94,7106300.0,658109.7
2012-07-01,58687.98,10.48,37.4,1.72,4634975.0,418354.9
2012-08-01,53647.97,9.58,34.2,1.57,4529913.0,454725.3
2012-09-01,48887.97,8.73,28.8,1.43,2741709.0,310057.2
2012-10-01,53983.97,9.64,31.8,1.58,2904259.0,315398.6
2012-11-01,53199.99,9.5,29.6,1.56,3228619.0,334491.3
2012-12-01,41327.99,7.38,23.0,1.21,2629952.0,316283.6
2013-01-01,54879.97,9.8,30.5,1.54,3959196.0,448006.9
2013-02-01,63559.96,11.35,35.4,1.78,8816423.0,901583.7
2013-03-01,63727.98,11.38,35.5,1.79,13010290.0,1162979.0
2013-04-01,53591.98,9.57,33.2,1.5,14060910.0,1311473.0
2013-05-01,53983.97,9.64,30.7,1.51,5042940.0,519992.5
2013-06-01,58183.96,10.39,33.0,1.63,9666031.0,949401.8
2013-07-01,45079.96,8.05,25.6,1.26,5075956.0,573624.7
2013-08-01,49391.98,8.82,28.1,1.38,5845151.0,684713.9
2013-09-01,49559.96,8.85,26.9,1.39,5910979.0,673995.8
2013-10-01,51407.99,9.18,27.9,1.44,6967625.0,738644.4
2013-11-01,49559.96,8.85,23.4,1.39,4804780.0,538633.9
2013-12-01,53367.97,9.53,25.2,1.49,6745072.0,752960.5
2014-01-01,50175.96,8.96,23.7,1.21,5207593.0,567497.1
2014-02-01,47375.97,8.46,22.4,1.15,3436744.0,397034.4
2014-03-01,44183.96,7.89,20.9,1.07,3690872.0,444122.3
2014-04-01,43063.99,7.69,20.3,1.04,4297823.0,563270.9
2014-05-01,45416.0,8.11,19.3,1.1,6075316.0,737509.8
2014-06-01,43791.97,7.82,18.6,1.06,3582930.0,444341.7
2014-07-01,42055.99,7.51,17.8,1.02,3267283.0,427525.1
2014-08-01,47263.99,8.44,20.0,1.14,7568867.0,938865.9
2014-09-01,47207.95,8.43,19.7,1.14,8567332.0,992505.1
2014-10-01,51071.96,9.12,21.3,1.24,10432850.0,1176445.0
2014-11-01,59303.98,10.59,19.8,1.44,15392160.0,1607000.0
2014-12-01,103823.9,18.54,34.6,2.51,28031380.0,2067797.0
2015-01-01,137031.9,24.47,45.7,3.32,177840100.0,8018972.0
2015-02-01,113231.9,20.22,37.7,2.74,110408300.0,4606604.0
2015-03-01,129807.9,23.18,43.3,3.14,44612180.0,1988184.0
2015-04-01,172815.9,30.86,38.5,4.18,102955500.0,3984892.0
2015-05-01,163127.9,29.13,28.6,3.95,119249900.0,3888483.0
2015-06-01,166038.6,30.41,29.8,4.12,113485000.0,3742679.0
2015-07-01,117911.0,21.66,21.3,2.94,90527630.0,3238956.0
2015-08-01,104029.5,19.11,18.8,2.59,73909300.0,3375618.0
2015-09-01,81438.06,14.96,14.7,2.03,28613060.0,1774253.0
2015-10-01,75776.56,13.92,13.7,1.89,12984700.0,901789.1
2015-11-01,92760.94,17.04,16.7,2.31,20099410.0,1147227.0
2015-12-01,102287.4,18.79,18.4,2.55,46047650.0,2205270.0
2016-01-01,107350.1,19.72,19.3,2.67,27818880.0,1355270.0
2016-02-01,76810.88,14.11,13.8,1.91,17180510.0,1112963.0
2016-03-01,76974.19,14.14,13.9,1.92,10888990.0,738716.9
2016-04-01,93250.94,17.13,16.8,2.32,26754400.0,1645782.0
