,MV,P,PE,VA,VO
1992-09-28,,,,,
1992-10-05,,,,,
1992-10-12,,,,,
1992-10-19,,,,,
1992-10-26,,,,,
1992-11-02,,,,,
1992-11-09,,,,,
1992-11-16,,,,,
1992-11-23,,,,,
1992-11-30,,,,,
1992-12-07,,,,,
1992-12-14,,,,,
1992-12-21,,,,,
1992-12-28,,,,,
1993-01-04,,,,,
1993-01-11,,,,,
1993-01-18,,,,,
1993-01-25,,,,,
1993-02-01,,,,,
1993-02-08,,,,,
1993-02-15,,,,,
1993-02-22,,,,,
1993-03-01,,,,,
1993-03-08,,,,,
1993-03-15,,,,,
1993-03-22,,,,,
1993-03-29,,,,,
1993-04-05,,,,,
1993-04-12,,,,,
1993-04-19,,,,,
1993-04-26,,,,,
1993-05-03,,,,,
1993-05-10,,,,,
1993-05-17,,,,,
1993-05-24,,,,,
1993-05-31,,,,,
1993-06-07,,,,,
1993-06-14,,,,,
1993-06-21,,,,,
1993-06-28,,,,,
1993-07-05,,,,,
1993-07-12,,,,,
1993-07-19,,,,,
1993-07-26,,,,,
1993-08-02,,,,,
1993-08-09,,,,,
1993-08-16,,,,,
1993-08-23,,,,,
1993-08-30,,,,,
1993-09-06,,,,,
1993-09-13,,,,,
1993-09-20,,,,,
1993-09-27,,,,,
1993-10-04,,,,,
1993-10-11,,,,,
1993-10-18,,,,,
1993-10-25,,,,,
1993-11-01,,,,,
1993-11-08,,,,,
1993-11-15,,,,,
1993-11-22,,,,,
1993-11-29,,,,,
1993-12-06,,,,,
1993-12-13,,,,,
1993-12-20,,,,,
1993-12-27,,,,,
1994-01-03,,,,,
1994-01-10,,,,,
1994-01-17,1214.75,4.71,,,13580.9
1994-01-24,1115.85,4.32,,,9785.2
1994-01-31,967.5,3.75,,,6358.7
1994-02-07,1006.2,3.9,,,6755.5
1994-02-14,967.5,3.75,,,3204.2
1994-02-21,976.1,3.78,,,17858.6
1994-02-28,1049.2,4.07,,,36254.0
1994-03-07,989.0,3.83,,,11122.6
1994-03-14,1053.5,4.08,,,13515.1
1994-03-21,905.15,3.51,,,12986.2
1994-03-28,881.5,3.42,,,7338.2
1994-04-04,885.8,3.43,31.7,,7236.4
1994-04-11,836.35,3.24,29.9,,2880.4
1994-04-18,733.15,2.84,26.2,,4239.2
1994-04-25,670.8,2.6,24.0,,8909.5
1994-05-02,709.5,2.75,25.4,,8862.4
1994-05-09,602.0,2.33,21.5,,3107.4
1994-05-16,649.3,2.52,23.2,,4808.8
1994-05-23,619.2,2.4,22.2,,2270.5
1994-05-30,569.75,2.21,20.4,,1756.8
1994-06-06,537.5,2.08,19.2,,2088.4
1994-06-13,455.8,1.77,16.3,,2031.7
1994-06-20,483.75,1.88,17.3,,5736.8
1994-06-27,455.8,1.77,16.3,,2840.6
1994-07-04,455.8,1.77,16.3,,1833.7
1994-07-11,470.85,1.82,16.8,,2382.7
1994-07-18,442.9,1.72,15.8,,1929.7
1994-07-25,421.4,1.63,15.1,,2112.2
1994-08-01,483.75,1.88,17.3,,6559.4
1994-08-08,881.5,3.42,31.5,,68674.5
1994-08-15,870.75,3.37,31.2,,67936.3
1994-08-22,842.8,3.27,30.2,,44700.1
1994-08-29,718.1,2.78,25.7,,14434.3
1994-09-05,894.4,3.47,32.0,,33006.5
1994-09-12,832.05,3.22,29.8,,33398.9
1994-09-19,756.8,2.93,27.1,,12246.2
1994-09-26,688.0,2.67,24.6,,6902.8
1994-10-03,614.9,2.38,22.0,,6838.9
1994-10-10,511.7,1.98,18.3,,6514.6
1994-10-17,445.05,1.72,15.9,,7488.8
1994-10-24,565.45,2.19,20.2,,11825.5
1994-10-31,526.75,2.04,18.8,,35176.2
1994-11-07,507.4,1.97,18.2,,10841.9
1994-11-14,546.1,2.12,19.5,,12231.0
1994-11-21,516.0,2.0,18.5,,3848.6
1994-11-28,507.4,1.97,18.2,,1772.4
1994-12-05,494.5,1.92,17.7,,1189.6
1994-12-12,462.25,1.79,16.5,,1651.6
1994-12-19,477.3,1.85,17.1,,4575.5
1994-12-26,500.95,1.94,17.9,,10520.5
1995-01-02,492.35,1.91,17.6,,3757.3
1995-01-09,473.0,1.83,16.9,,4400.2
1995-01-16,453.65,1.76,16.2,,2209.6
1995-01-23,449.35,1.74,16.1,,1367.4
1995-01-30,449.35,1.74,16.1,,680.5
1995-02-06,436.45,1.69,15.6,,177.1
1995-02-13,455.8,1.77,16.3,,1016.4
1995-02-20,462.25,1.79,16.5,,3054.8
1995-02-27,457.95,1.77,16.4,,3849.0
1995-03-06,470.85,1.82,16.8,,2054.5
1995-03-13,451.5,1.75,16.2,,6879.0
1995-03-20,449.35,1.74,16.1,,1952.9
1995-03-27,468.7,1.82,16.8,,2306.4
1995-04-03,464.4,1.8,11.4,,1671.1
1995-04-10,507.4,1.97,12.4,,9041.4
1995-04-17,460.1,1.78,11.3,,3260.1
1995-04-24,457.95,1.77,11.2,,1419.5
1995-05-01,447.2,1.73,10.9,,2212.5
1995-05-08,430.0,1.67,10.5,,895.7
1995-05-15,430.0,1.67,10.5,,719.8
1995-05-22,705.2,2.73,17.3,,33109.2
1995-05-29,494.5,1.92,12.1,,16488.2
1995-06-05,481.6,1.87,11.8,,3073.8
1995-06-12,526.75,2.04,12.9,,6829.4
1995-06-19,466.55,1.81,11.4,,21521.8
1995-06-26,492.35,1.91,12.1,,9705.1
1995-07-03,457.95,1.77,11.2,,5143.3
1995-07-10,586.95,2.27,14.4,,29078.8
1995-07-17,621.35,2.41,15.2,,37120.0
1995-07-24,696.6,2.7,17.1,,58729.4
1995-07-31,694.45,2.69,17.0,,34116.5
1995-08-07,688.0,2.67,16.8,,24599.5
1995-08-14,1184.65,4.59,29.0,,196293.8
1995-08-21,1077.15,4.17,26.4,,111944.5
1995-08-28,812.7,3.15,19.9,,49348.8
1995-09-04,920.2,3.57,22.5,,47772.5
1995-09-11,939.55,3.64,23.0,,38840.5
1995-09-18,922.35,3.57,22.6,,20860.4
1995-09-25,832.05,3.22,20.4,,8216.2
1995-10-02,855.7,3.32,26.5,,7469.9
1995-10-09,853.55,3.31,26.5,,10431.5
1995-10-16,819.15,3.17,25.4,,16928.5
1995-10-23,883.65,3.42,27.4,,79304.1
1995-10-30,952.45,3.69,29.5,,45746.0
1995-11-06,978.25,3.79,30.3,,30644.4
1995-11-13,875.05,3.39,27.1,,13091.0
1995-11-20,885.8,3.43,27.5,,9189.1
1995-11-27,789.05,3.06,24.5,,6210.7
1995-12-04,756.8,2.93,23.5,,4420.2
1995-12-11,767.55,2.97,23.8,,6770.0
1995-12-18,767.55,2.97,23.8,,9548.1
1995-12-25,750.35,2.91,23.3,,4931.0
1996-01-01,679.4,2.63,21.1,,3595.7
1996-01-08,657.9,2.55,20.4,,6524.4
1996-01-15,688.0,2.67,21.3,,9874.4
1996-01-22,662.2,2.57,20.5,,7094.9
1996-01-29,703.05,2.72,21.8,,42760.0
1996-02-05,677.25,2.62,21.0,,9797.2
1996-02-12,681.55,2.64,21.1,,3190.9
1996-02-19,707.35,2.74,21.9,,4864.5
1996-02-26,707.35,2.74,21.9,,
1996-03-04,774.0,3.0,24.0,,6148.8
1996-03-11,735.3,2.85,22.8,,21099.6
1996-03-18,752.5,2.92,23.3,,4951.3
1996-03-25,767.55,2.97,23.8,,7052.2
1996-04-01,739.6,2.87,22.9,,5491.8
1996-04-08,743.9,2.88,23.1,,2640.6
1996-04-15,741.75,2.87,23.0,,3656.2
1996-04-22,791.2,3.07,24.5,,20795.3
1996-04-29,1113.7,4.32,34.5,,67588.0
1996-05-06,999.75,3.87,31.0,,34692.1
1996-05-13,1034.15,4.01,32.1,,29618.4
1996-05-20,1036.3,4.02,32.1,,36789.9
1996-05-27,924.5,3.58,143.3,,14193.0
1996-06-03,956.75,3.71,148.3,,6450.0
1996-06-10,1029.42,3.99,159.6,,18505.9
1996-06-17,993.3,3.85,154.0,,22276.4
1996-06-24,957.18,3.71,148.4,,8361.1
1996-07-01,1083.6,4.2,168.0,,35321.9
1996-07-08,1106.82,4.29,171.6,,49150.8
1996-07-15,1042.32,4.04,161.6,,22200.4
1996-07-22,1212.6,4.7,188.0,,48674.9
1996-07-29,1101.66,4.27,170.8,,30797.7
1996-08-05,1148.1,4.45,178.0,,17698.6
1996-08-12,1132.62,4.39,175.6,,18219.8
1996-08-19,1037.16,4.02,160.8,,9733.4
1996-08-26,900.42,3.49,139.6,,7966.1
1996-09-02,946.86,3.67,146.8,,15264.9
1996-09-09,923.64,3.58,143.2,,10516.6
1996-09-16,913.32,3.54,141.6,,6195.0
1996-09-23,980.4,3.8,152.0,,12381.2
1996-09-30,988.14,3.83,153.2,,14109.1
1996-10-07,995.88,3.86,154.4,,16151.4
1996-10-14,1122.3,4.35,174.0,,41873.3
1996-10-21,1155.84,4.48,179.2,,29786.8
1996-10-28,1253.88,4.86,194.4,,59916.9
1996-11-04,1166.16,4.52,180.8,,30040.1
1996-11-11,1083.6,4.2,168.0,,12242.6
1996-11-18,1302.9,5.05,202.0,,34163.1
1996-11-25,1419.0,5.5,220.0,,89597.4
1996-12-02,1767.3,6.85,274.0,,91972.6
1996-12-09,1795.68,6.96,278.4,,74805.1
1996-12-16,1393.2,5.4,216.0,,27563.5
1996-12-23,1083.6,4.2,168.0,,19141.8
1996-12-30,1145.52,4.44,177.6,,22589.6
1997-01-06,1032.0,4.0,160.0,,7742.7
1997-01-13,1153.26,4.47,178.8,,15565.6
1997-01-20,1117.14,4.33,173.2,,8018.7
1997-01-27,1173.9,4.55,182.0,,17128.9
1997-02-03,1142.94,4.43,177.2,,8685.6
1997-02-10,1142.94,4.43,177.2,,
1997-02-17,1163.58,4.51,180.4,,2937.9
1997-02-24,1230.66,4.77,190.8,,44529.6
1997-03-03,1308.06,5.07,202.8,,23646.8
1997-03-10,1359.66,5.27,210.8,,38285.1
1997-03-17,1390.62,5.39,215.6,,32339.2
1997-03-24,1336.44,5.18,207.2,,17953.9
1997-03-31,1426.74,5.53,221.2,,23425.7
1997-04-07,1465.44,5.68,227.2,,30909.5
1997-04-14,1491.24,5.78,231.2,,23704.4
1997-04-21,1612.5,6.25,250.0,,35150.5
1997-04-28,1364.82,5.29,211.6,,24837.2
1997-05-05,1369.98,5.31,212.4,,11469.9
1997-05-12,1406.1,5.45,218.0,,21761.4
1997-05-19,1240.98,4.81,192.4,,12934.3
1997-05-26,1042.32,4.04,161.6,,7234.3
1997-06-02,1119.72,4.34,173.6,,6439.3
1997-06-09,1032.0,4.0,160.0,,7817.1
1997-06-16,1032.0,4.0,160.0,,4571.3
1997-06-23,1001.04,3.88,155.2,,4409.8
1997-06-30,928.8,3.6,144.0,,3981.9
1997-07-07,817.86,3.17,126.8,,4704.1
1997-07-14,1001.04,3.88,155.2,,8823.7
1997-07-21,1032.0,4.0,160.0,,16248.6
1997-07-28,1057.8,4.1,164.0,,8966.8
1997-08-04,1060.38,4.11,164.4,,12597.4
1997-08-11,1073.28,4.16,166.4,,15962.0
1997-08-18,1106.82,4.29,171.6,,10952.8
1997-08-25,1034.58,4.01,160.4,,30859.5
1997-09-01,1266.78,4.91,196.4,,42157.1
1997-09-08,1333.86,5.17,206.8,,20909.8
1997-09-15,1168.74,4.53,181.2,,21155.5
1997-09-22,1034.58,4.01,160.4,,9167.5
1997-09-29,1055.22,4.09,163.6,,9907.5
1997-10-06,1057.8,4.1,164.0,,926.5
1997-10-13,1093.92,4.24,169.6,,3791.5
1997-10-20,1096.5,4.25,170.0,,6850.9
1997-10-27,1060.38,4.11,164.4,,10772.7
1997-11-03,1029.42,3.99,159.6,,6662.9
1997-11-10,995.88,3.86,154.4,,4145.0
1997-11-17,1044.9,4.05,162.0,,10181.7
1997-11-24,957.18,3.71,148.4,,3988.3
1997-12-01,946.86,3.67,146.8,,2554.6
1997-12-08,882.36,3.42,136.8,,3721.4
1997-12-15,882.36,3.42,136.8,,3042.3
1997-12-22,884.94,3.43,137.2,,4205.4
1997-12-29,918.48,3.56,142.4,,5816.3
1998-01-05,933.96,3.62,144.8,,2550.5
1998-01-12,964.92,3.74,149.6,,8805.2
1998-01-19,954.6,3.7,148.0,,6490.9
1998-01-26,1003.62,3.89,155.6,,5841.6
1998-02-02,1003.62,3.89,155.6,,
1998-02-09,1057.8,4.1,164.0,,3265.3
1998-02-16,1001.04,3.88,155.2,,11723.5
1998-02-23,1001.04,3.88,155.2,,3462.6
1998-03-02,1006.2,3.9,156.0,,3889.9
1998-03-09,993.3,3.85,154.0,,4975.1
1998-03-16,944.28,3.66,146.4,,3095.7
1998-03-23,975.24,3.78,151.2,,2990.6
1998-03-30,1073.28,4.16,166.4,,15391.3
1998-04-06,1243.56,4.82,192.8,,30253.2
1998-04-13,1279.68,4.96,198.4,,32464.5
1998-04-20,1400.94,5.43,217.2,,35668.6
1998-04-27,1313.22,5.09,203.6,,31709.6
1998-05-04,1310.64,5.08,203.2,,21278.5
1998-05-11,1408.68,5.46,218.4,,28318.4
1998-05-18,1238.4,4.8,192.0,,20376.0
1998-05-25,1300.32,5.04,201.6,,7363.2
1998-06-01,1393.2,5.4,216.0,,22434.4
1998-06-08,1225.5,4.75,190.0,,12350.3
1998-06-15,1161.0,4.5,180.0,,7136.8
1998-06-22,1135.2,4.4,176.0,,3558.2
1998-06-29,1184.22,4.59,183.6,,7611.4
1998-07-06,1142.94,4.43,177.2,,2520.1
1998-07-13,1207.44,4.68,187.2,,3139.1
1998-07-20,1220.34,4.73,189.2,,7243.6
1998-07-27,1287.42,4.99,199.6,,13095.5
1998-08-03,1300.32,5.04,201.6,,6764.6
1998-08-10,1323.54,5.13,205.2,,8580.7
1998-08-17,1104.24,4.28,171.2,,6326.9
1998-08-24,1215.18,4.71,188.4,,6238.6
1998-08-31,1215.18,4.71,188.4,,6798.0
1998-09-07,1158.42,4.49,179.6,,6050.8
1998-09-14,1204.86,4.67,186.8,,5697.5
1998-09-21,1264.2,4.9,196.0,,13630.8
1998-09-28,1346.76,5.22,208.8,,33729.4
1998-10-05,1349.34,5.23,209.2,,12108.7
1998-10-12,1452.54,5.63,225.2,,16124.6
1998-10-19,1442.22,5.59,223.6,,14275.9
1998-10-26,1635.72,6.34,253.6,,43726.8
1998-11-02,1591.86,6.17,246.8,,19975.9
1998-11-09,1597.02,6.19,247.6,,11693.4
1998-11-16,1612.5,6.25,250.0,,14441.7
1998-11-23,1455.12,5.64,225.6,,14168.5
1998-11-30,1416.42,5.49,219.6,,11018.3
1998-12-07,1259.04,4.88,195.2,,10769.4
1998-12-14,1119.72,4.34,173.6,,5977.3
1998-12-21,1068.12,4.14,165.6,,5490.0
1998-12-28,1091.34,4.23,169.2,,5193.2
1999-01-04,1065.54,4.13,165.2,,2032.1
1999-01-11,1052.64,4.08,163.2,,5853.8
1999-01-18,975.24,3.78,151.2,,7272.6
1999-01-25,1212.6,4.7,188.0,,9469.0
1999-02-01,1269.36,4.92,196.8,,22086.8
1999-02-08,1176.48,4.56,182.4,,19961.5
1999-02-15,1212.6,4.7,188.0,,1559.4
1999-02-22,1212.6,4.7,188.0,,
1999-03-01,1274.52,4.94,197.6,,1342.1
1999-03-08,1284.84,4.98,199.2,,9984.9
1999-03-15,1382.88,5.36,214.4,,9437.4
1999-03-22,1331.28,5.16,206.4,,11375.5
1999-03-29,1426.74,5.53,221.2,,8676.2
1999-04-05,1377.72,5.34,213.6,,9050.5
1999-04-12,1496.4,5.8,232.0,,21088.3
1999-04-19,1367.4,5.3,212.0,,9536.1
1999-04-26,1375.14,5.33,213.2,,7678.9
1999-05-03,1253.88,4.86,194.4,,7556.6
1999-05-10,1130.04,4.38,175.2,,5929.9
1999-05-17,1070.7,4.15,166.0,,3938.4
1999-05-24,1127.46,4.37,174.8,,8214.1
1999-05-31,1323.54,5.13,205.2,,14532.3
1999-06-07,1437.06,5.57,222.8,,12372.0
1999-06-14,1496.4,5.8,232.0,,20354.2
1999-06-21,1478.34,5.73,229.2,,17673.9
1999-06-28,1597.02,6.19,247.6,,42400.2
1999-07-05,1517.04,5.88,235.2,,15307.9
1999-07-12,1491.24,5.78,231.2,,10364.2
1999-07-19,1398.36,5.42,216.8,,10098.0
1999-07-26,1385.46,5.37,214.8,,7630.5
1999-08-02,1424.16,5.52,220.8,,7391.0
1999-08-09,1421.58,5.51,220.4,,10153.5
1999-08-16,1388.04,5.38,215.2,,3832.7
1999-08-23,1478.34,5.73,229.2,,5531.4
1999-08-30,1622.82,6.29,251.6,,22235.5
1999-09-06,1555.74,6.03,241.2,,12708.2
1999-09-13,1560.9,6.05,242.0,,14317.4
1999-09-20,1522.2,5.9,236.0,,6767.2
1999-09-27,1460.28,5.66,226.4,,3997.8
1999-10-04,1455.12,5.64,225.6,,1545.7
1999-10-11,1411.26,5.47,218.8,,975.5
1999-10-18,1349.34,5.23,209.2,,1996.1
1999-10-25,1372.56,5.32,212.8,,1875.9
1999-11-01,1354.5,5.25,210.0,,2539.0
1999-11-08,1310.64,5.08,203.2,,2364.7
1999-11-15,1199.7,4.65,186.0,,2988.1
1999-11-22,1243.56,4.82,192.8,,3901.5
1999-11-29,1176.48,4.56,182.4,,1912.6
1999-12-06,1300.32,5.04,201.6,,6414.1
1999-12-13,1271.94,4.93,197.2,,3102.1
1999-12-20,1320.96,5.12,204.8,,11184.3
1999-12-27,1163.58,4.51,180.4,,10707.3
2000-01-03,1199.7,4.65,186.0,,1627.9
2000-01-10,1253.88,4.86,194.4,,14956.3
2000-01-17,1166.16,4.52,180.8,,7499.2
2000-01-24,1093.92,4.24,169.6,,6732.9
2000-01-31,1106.82,4.29,171.6,,8791.5
2000-02-07,1106.82,4.29,171.6,,
2000-02-14,1161.0,4.5,180.0,,2372.7
2000-02-21,1088.76,4.22,168.8,,15602.1
2000-02-28,1109.4,4.3,172.0,,13071.2
2000-03-06,1207.44,4.68,187.2,,22079.5
2000-03-13,1253.88,4.86,194.4,,17323.3
2000-03-20,1228.08,4.76,190.4,,12990.8
2000-03-27,1323.54,5.13,205.2,,22084.5
2000-04-03,1514.46,5.87,234.8,,24689.5
2000-04-10,1364.82,5.29,211.6,,24113.0
2000-04-17,1452.54,5.63,225.2,,20141.5
2000-04-24,1364.82,5.29,211.6,,14383.1
2000-05-01,1333.86,5.17,206.8,,5759.7
2000-05-08,1302.9,5.05,202.0,,1190.3
2000-05-15,1222.92,4.74,189.6,,6293.2
2000-05-22,1290.0,5.0,200.0,,4513.5
2000-05-29,1339.02,5.19,207.6,,5656.0
2000-06-05,1339.02,5.19,207.6,,12956.0
2000-06-12,1406.1,5.45,218.0,,12330.2
2000-06-19,1359.66,5.27,210.8,,24266.7
2000-06-26,1390.62,5.39,215.6,,11248.8
2000-07-03,1431.9,5.55,222.0,,10518.0
2000-07-10,1390.62,5.39,215.6,,7371.6
2000-07-17,1542.84,5.98,239.2,,26418.2
2000-07-24,1607.34,6.23,249.2,,22601.4
2000-07-31,1901.46,7.37,294.8,,49720.5
2000-08-07,1816.32,7.04,281.6,,29034.2
2000-08-14,1971.12,7.64,305.6,,31187.3
2000-08-21,1986.6,7.7,308.0,,15437.4
2000-08-28,2298.78,8.91,356.4,,48873.5
2000-09-04,2064.0,8.0,320.0,,27097.9
2000-09-11,2115.6,8.2,328.0,,15843.1
2000-09-18,2136.24,8.28,331.2,,12342.7
2000-09-25,1937.58,7.51,300.4,,7709.8
2000-10-02,1984.02,7.69,307.6,,3543.5
2000-10-09,2061.42,7.99,319.6,,2542.4
2000-10-16,2089.8,8.1,324.0,,13930.2
2000-10-23,2020.14,7.83,313.2,,9559.1
2000-10-30,2066.58,8.01,320.4,,7204.6
2000-11-06,1945.32,7.54,301.6,,5975.0
2000-11-13,1960.8,7.6,304.0,,6932.5
2000-11-20,1981.44,7.68,307.2,,8056.9
2000-11-27,2064.0,8.0,320.0,,16050.2
2000-12-04,2218.8,8.6,344.0,,13844.5
2000-12-11,2110.44,8.18,327.2,,10117.9
2000-12-18,2007.24,7.78,311.2,,9400.0
2000-12-25,1916.94,7.43,297.2,,6888.8
2001-01-01,1904.04,7.38,295.2,,4160.8
2001-01-08,1826.64,7.08,283.2,,5289.2
2001-01-15,1777.62,6.89,275.6,,5611.2
2001-01-22,1780.2,6.9,276.0,,2384.9
2001-01-29,1780.2,6.9,276.0,,
2001-02-05,1870.5,7.25,290.0,,913.8
2001-02-12,1795.68,6.96,278.4,,4412.1
2001-02-19,1705.38,6.61,264.4,,3179.4
2001-02-26,1483.5,5.75,230.0,,6090.0
2001-03-05,1638.3,6.35,254.0,,6212.4
2001-03-12,1599.6,6.2,248.0,,4129.5
2001-03-19,1679.58,6.51,260.4,,6054.0
2001-03-26,1635.72,6.34,253.6,,7812.5
2001-04-02,1620.24,6.28,251.2,,6296.4
2001-04-09,1795.68,6.96,278.4,,15861.8
2001-04-16,1731.18,6.71,268.4,,8851.1
2001-04-23,1777.62,6.89,275.6,,7277.7
2001-04-30,1865.34,7.23,289.2,,21156.0
2001-05-07,1865.34,7.23,289.2,,
2001-05-14,1978.86,7.67,306.8,,16324.1
2001-05-21,2084.64,8.08,323.2,,17760.8
2001-05-28,2195.58,8.51,340.4,,17403.5
2001-06-04,2221.38,8.61,344.4,,15837.2
2001-06-11,2069.16,8.02,320.8,,16084.1
2001-06-18,2076.9,8.05,322.0,,7409.1
2001-06-25,2115.6,8.2,328.0,,5638.4
2001-07-02,2169.78,8.41,336.4,,6439.2
2001-07-09,2115.6,8.2,328.0,,3743.3
2001-07-16,2319.42,8.99,359.6,,19956.4
2001-07-23,2505.18,9.71,388.4,,39670.0
2001-07-30,2141.4,8.3,332.0,,21396.6
2001-08-06,2087.22,8.09,323.6,,16705.5
2001-08-13,2275.56,8.82,352.8,,9191.5
2001-08-20,2347.8,9.1,364.0,,13691.2
2001-08-27,2221.38,8.61,344.4,,15208.2
2001-09-03,2213.64,8.58,343.2,,8409.0
2001-09-10,2149.14,8.33,333.2,,7865.8
2001-09-17,1826.64,7.08,283.2,,12709.4
2001-09-24,1736.34,6.73,269.2,,15265.9
2001-10-01,1529.94,5.93,237.2,,9461.7
2001-10-08,1607.34,6.23,249.2,,3797.6
2001-10-15,1638.3,6.35,254.0,,9194.1
2001-10-22,1444.8,5.6,224.0,,8119.4
2001-10-29,1591.86,6.17,246.8,,11962.4
2001-11-05,1519.62,5.89,235.6,,7421.7
2001-11-12,1498.98,5.81,232.4,,7018.2
2001-11-19,1689.9,6.55,262.0,,11807.3
2001-11-26,1713.12,6.64,265.6,,15348.5
2001-12-03,1785.36,6.92,276.8,,14147.5
2001-12-10,1643.46,6.37,254.8,,19264.9
2001-12-17,1630.56,6.32,252.8,,15015.3
2001-12-24,1511.88,5.86,234.4,,8139.2
2001-12-31,1320.96,5.12,204.8,,25255.1
2002-01-07,1421.58,5.51,220.4,4973.1,6679.9
2002-01-14,1158.42,4.49,179.6,,5931.4
2002-01-21,900.42,3.49,139.6,,13637.6
2002-01-28,903.0,3.5,140.0,,17751.9
2002-02-04,995.88,3.86,154.4,,10862.9
2002-02-11,1016.52,3.94,157.6,,12616.5
2002-02-18,1016.52,3.94,157.6,,
2002-02-25,1065.54,4.13,165.2,,4623.5
2002-03-04,1055.22,4.09,163.6,,55975.1
2002-03-11,1191.96,4.62,184.8,,34155.5
2002-03-18,1088.76,4.22,168.8,,29537.7
2002-03-25,1117.14,4.33,173.2,,18454.3
2002-04-01,1034.58,4.01,160.4,,22151.7
2002-04-08,1001.04,3.88,155.2,,24738.6
2002-04-15,995.88,3.86,154.4,,36577.7
2002-04-22,1101.66,4.27,170.8,,44183.6
2002-04-29,988.14,3.83,153.2,,44743.6
2002-05-06,988.14,3.83,153.2,,
2002-05-13,988.14,3.83,153.2,,
2002-05-20,988.14,3.83,153.2,,
2002-05-27,988.14,3.83,153.2,,
2002-06-03,988.14,3.83,153.2,,
2002-06-10,988.14,3.83,153.2,,
2002-06-17,988.14,3.83,153.2,,
2002-06-24,988.14,3.83,153.2,,
2002-07-01,988.14,3.83,153.2,,
2002-07-08,988.14,3.83,153.2,,
2002-07-15,988.14,3.83,153.2,,
2002-07-22,988.14,3.83,153.2,,
2002-07-29,988.14,3.83,153.2,,
2002-08-05,988.14,3.83,153.2,,
2002-08-12,988.14,3.83,153.2,,
2002-08-19,988.14,3.83,153.2,,
2002-08-26,988.14,3.83,153.2,,
2002-09-02,988.14,3.83,153.2,,
