,MV,P,VA,VO
2013-07-01,73638.69,12.22,2907004.0,254355.7
2013-08-01,75507.25,12.53,3479586.0,282508.3
2013-09-01,92083.56,15.28,3455469.0,243132.5
2013-10-01,102632.1,17.03,2068292.0,130642.0
2013-11-01,87783.75,14.56,3127279.0,199370.8
2013-12-01,89250.5,14.81,3266338.0,234803.4
2014-01-01,82720.5,13.72,2536327.0,174851.4
2014-02-01,73437.75,12.18,3755387.0,298688.6
2014-03-01,61764.07,10.25,3520544.0,306394.1
2014-04-01,65541.44,10.87,5836296.0,544509.5
2014-05-01,65903.06,10.93,4011386.0,349252.8
2014-06-01,57564.77,9.55,3549490.0,381442.8
2014-07-01,51316.04,8.51,2568381.0,290988.6
2014-08-01,63190.67,10.48,5726346.0,605700.5
2014-09-01,63652.78,10.56,3923102.0,369883.8
2014-10-01,61101.01,10.14,3536821.0,336950.8
2014-11-01,61181.42,10.15,2941128.0,285980.2
2014-12-01,72212.19,11.98,4200218.0,379353.4
2015-01-01,83484.0,13.85,7256554.0,546803.8
2015-02-01,89993.94,14.93,5738946.0,393754.8
2015-03-01,98191.69,16.29,3691244.0,225835.8
2015-04-01,105485.2,17.5,6915932.0,413126.4
2015-05-01,105686.1,17.53,10517690.0,578560.6
2015-06-01,96142.25,15.95,18711300.0,1142034.0
2015-07-01,85915.19,14.25,13621050.0,858145.8
2015-08-01,68816.56,11.42,17904260.0,1453213.0
2015-09-01,56982.12,9.45,9215795.0,938355.3
2015-10-01,65762.5,10.91,6517917.0,687147.1
2015-11-01,70464.06,11.69,10106850.0,698465.6
2015-12-01,73357.38,12.17,11454310.0,905955.1
2016-01-01,72573.81,12.04,6805555.0,553460.9
2016-02-01,48161.5,7.99,3429529.0,356055.5
2016-03-01,49306.79,8.18,2769549.0,325619.2
2016-04-01,54792.03,9.09,4413788.0,492619.3
